FlowId,SourceSystem,DestSystem,CategoryId,CategoryType,EncryptionInTransit,Protocol
FLOW-001,PatientPortal,ClaimsEngine,SSN,PII,true,HTTPS/TLS1.3
FLOW-001,PatientPortal,ClaimsEngine,DIAGNOSIS,PHI,true,HTTPS/TLS1.3
FLOW-001,PatientPortal,ClaimsEngine,INSURANCE_INFO,PHI,true,HTTPS/TLS1.3
FLOW-002,PatientPortal,AnalyticsPlatform,EMAIL,PII,true,HTTPS/TLS1.2
FLOW-002,PatientPortal,AnalyticsPlatform,DOB,PII,true,HTTPS/TLS1.2
FLOW-002,PatientPortal,AnalyticsPlatform,DIAGNOSIS,PHI,true,HTTPS/TLS1.2
FLOW-003,ClaimsEngine,BillingSystem,SSN,PII,true,HTTPS/TLS1.2
FLOW-003,ClaimsEngine,BillingSystem,FINANCIAL,PII,true,HTTPS/TLS1.2
FLOW-003,ClaimsEngine,BillingSystem,INSURANCE_INFO,PHI,true,HTTPS/TLS1.2
FLOW-004,AnalyticsPlatform,NotificationService,EMAIL,PII,true,HTTPS/TLS1.2
FLOW-005,NotificationService,ExternalSMTP,EMAIL,PII,false,HTTP
FLOW-006,GeneticScreeningLab,AnalyticsPlatform,GENETIC,PII,true,HTTPS/TLS1.3
FLOW-006,GeneticScreeningLab,AnalyticsPlatform,GENOMIC_HEALTH,PHI,true,HTTPS/TLS1.3
FLOW-007,BillingSystem,ExternalPaymentGateway,FINANCIAL,PII,true,HTTPS/TLS1.2
FLOW-008,HRPortal,IdentityProvider,BIOMETRIC,PII,true,HTTPS/TLS1.3
FLOW-009,HRPortal,BillingSystem,SSN,PII,true,HTTPS/TLS1.2
FLOW-009,HRPortal,BillingSystem,FINANCIAL,PII,true,HTTPS/TLS1.2
FLOW-010,GeneticScreeningLab,ExternalResearchPartner,GENETIC,PII,true,SFTP
FLOW-011,NotificationService,ExternalSMSGateway,PHONE,PII,true,HTTPS/TLS1.2
FLOW-012,MobileHealthApp,PatientPortal,BIOMETRIC,PII,true,HTTPS/TLS1.3
FLOW-012,MobileHealthApp,PatientPortal,MEDICATIONS,PHI,true,HTTPS/TLS1.3
FLOW-013,MobileHealthApp,AnalyticsPlatform,DEVICE_ID,PII,false,HTTP
FLOW-013,MobileHealthApp,AnalyticsPlatform,BIOMETRIC,PII,false,HTTP
